epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.21324,0.92215,0.63636,1,0.6833,3.57e-05,3.57e-05,3.57e-05
2,2.7693,0.81971,0.54545,1,0.66067,7.77625e-05,7.77625e-05,7.77625e-05
3,3.99534,0.74143,0.72727,1,0.6414,0.000118977,0.000118977,0.000118977
4,5.13107,0.62396,0.63636,1,0.62948,0.000159343,0.000159343,0.000159343
5,6.31031,0.64915,0.63636,1,0.62044,0.00019886,0.00019886,0.00019886
6,7.46285,0.45084,0.63636,1,0.60136,0.00023753,0.00023753,0.00023753
7,8.68451,0.59274,0.63636,1,0.59365,0.000275351,0.000275351,0.000275351
8,9.82766,0.46566,0.63636,1,0.605,0.000312324,0.000312324,0.000312324
9,10.9665,0.45476,0.63636,1,0.59834,0.000348449,0.000348449,0.000348449
10,12.0784,0.41981,0.63636,1,0.59341,0.000383726,0.000383726,0.000383726
11,13.467,0.44893,0.63636,1,0.58898,0.000418154,0.000418154,0.000418154
12,14.8295,0.43507,0.63636,1,0.59528,0.000451734,0.000451734,0.000451734
13,16.1757,0.29842,0.72727,1,0.58563,0.000484466,0.000484466,0.000484466
14,17.5419,0.32717,0.72727,1,0.5669,0.00051635,0.00051635,0.00051635
15,18.9572,0.44311,0.63636,1,0.55198,0.000547385,0.000547385,0.000547385
16,20.278,0.43928,0.72727,1,0.56294,0.000577572,0.000577572,0.000577572
17,21.5863,0.36531,0.72727,1,0.5434,0.000600902,0.000600902,0.000600902
18,22.8949,0.32443,0.81818,1,0.52527,0.000593834,0.000593834,0.000593834
19,24.239,0.49703,0.81818,1,0.51794,0.000586765,0.000586765,0.000586765
20,25.5438,0.28871,0.81818,1,0.50959,0.000579697,0.000579697,0.000579697
21,26.8462,0.19322,0.81818,1,0.50073,0.000572628,0.000572628,0.000572628
22,28.2134,0.31725,0.81818,1,0.48508,0.000565559,0.000565559,0.000565559
23,29.5598,0.32504,0.81818,1,0.48412,0.000558491,0.000558491,0.000558491
24,30.8552,0.39424,0.81818,1,0.50552,0.000551422,0.000551422,0.000551422
25,32.1537,0.26318,0.72727,1,0.51824,0.000544354,0.000544354,0.000544354
26,33.4534,0.34221,0.81818,1,0.55201,0.000537285,0.000537285,0.000537285
27,34.7605,0.16353,0.81818,1,0.53064,0.000530216,0.000530216,0.000530216
28,36.0731,0.41931,0.81818,1,0.48718,0.000523148,0.000523148,0.000523148
29,37.3883,0.43852,0.81818,1,0.48643,0.000516079,0.000516079,0.000516079
30,38.7438,0.22194,0.81818,1,0.48962,0.000509011,0.000509011,0.000509011
31,40.1134,0.21589,0.81818,1,0.47479,0.000501942,0.000501942,0.000501942
32,41.4321,0.24129,0.81818,1,0.50373,0.000494873,0.000494873,0.000494873
33,42.7088,0.18508,0.81818,1,0.50268,0.000487805,0.000487805,0.000487805
34,44.0854,0.35676,0.72727,1,0.5209,0.000480736,0.000480736,0.000480736
35,45.3628,0.19586,0.81818,1,0.51945,0.000473668,0.000473668,0.000473668
36,46.6799,0.38539,0.72727,1,0.54979,0.000466599,0.000466599,0.000466599
37,47.9657,0.2534,0.81818,1,0.54934,0.00045953,0.00045953,0.00045953
38,49.3524,0.22769,0.72727,1,0.56123,0.000452462,0.000452462,0.000452462
39,50.6291,0.1711,0.72727,1,0.54757,0.000445393,0.000445393,0.000445393
40,51.931,0.13794,0.72727,1,0.55219,0.000438325,0.000438325,0.000438325
41,53.2045,0.30924,0.72727,1,0.54611,0.000431256,0.000431256,0.000431256
42,54.6003,0.25213,0.72727,1,0.53516,0.000424187,0.000424187,0.000424187
43,55.9,0.14892,0.72727,1,0.52267,0.000417119,0.000417119,0.000417119
44,57.1899,0.20876,0.72727,1,0.53931,0.00041005,0.00041005,0.00041005
45,58.4646,0.25902,0.72727,1,0.53531,0.000402982,0.000402982,0.000402982
46,59.8384,0.23884,0.72727,1,0.53459,0.000395913,0.000395913,0.000395913
47,61.1203,0.10361,0.72727,1,0.54567,0.000388844,0.000388844,0.000388844
48,62.4082,0.29189,0.72727,1,0.57512,0.000381776,0.000381776,0.000381776
49,63.7007,0.11317,0.72727,1,0.58529,0.000374707,0.000374707,0.000374707
50,65.1201,0.11249,0.72727,1,0.59512,0.000367639,0.000367639,0.000367639
51,66.397,0.22693,0.72727,1,0.60457,0.00036057,0.00036057,0.00036057
52,67.7155,0.14459,0.63636,1,0.61637,0.000353501,0.000353501,0.000353501
53,68.98,0.20586,0.63636,1,0.61714,0.000346433,0.000346433,0.000346433
54,70.3339,0.35331,0.63636,1,0.64435,0.000339364,0.000339364,0.000339364
55,71.6094,0.36059,0.63636,1,0.64572,0.000332296,0.000332296,0.000332296
56,73.0404,0.1371,0.63636,1,0.6445,0.000325227,0.000325227,0.000325227
57,74.3565,0.47357,0.63636,1,0.66059,0.000318158,0.000318158,0.000318158
58,75.7704,0.12694,0.63636,1,0.62746,0.00031109,0.00031109,0.00031109
59,77.0768,0.1613,0.63636,1,0.6382,0.000304021,0.000304021,0.000304021
60,78.4605,0.23212,0.63636,1,0.65222,0.000296953,0.000296953,0.000296953
61,79.7575,0.22569,0.63636,1,0.63968,0.000289884,0.000289884,0.000289884
62,81.1389,0.08828,0.63636,1,0.63523,0.000282815,0.000282815,0.000282815
63,82.4407,0.29105,0.63636,1,0.64509,0.000275747,0.000275747,0.000275747
64,83.7772,0.14405,0.63636,1,0.63673,0.000268678,0.000268678,0.000268678
65,85.1345,0.11714,0.63636,1,0.63277,0.00026161,0.00026161,0.00026161
66,86.595,0.40301,0.63636,1,0.62892,0.000254541,0.000254541,0.000254541
67,87.9138,0.317,0.63636,1,0.61931,0.000247472,0.000247472,0.000247472
68,89.2314,0.28723,0.72727,1,0.61311,0.000240404,0.000240404,0.000240404
69,90.6394,0.22289,0.72727,1,0.61051,0.000233335,0.000233335,0.000233335
70,91.9871,0.11905,0.63636,1,0.61592,0.000226267,0.000226267,0.000226267
71,93.2798,0.18102,0.63636,1,0.60903,0.000219198,0.000219198,0.000219198
72,94.603,0.08794,0.63636,1,0.61227,0.000212129,0.000212129,0.000212129
73,95.9483,0.25796,0.63636,1,0.61418,0.000205061,0.000205061,0.000205061
74,97.3007,0.21039,0.63636,1,0.62649,0.000197992,0.000197992,0.000197992
75,98.5654,0.16481,0.63636,1,0.62697,0.000190924,0.000190924,0.000190924
76,99.8613,0.09321,0.63636,1,0.63933,0.000183855,0.000183855,0.000183855
77,101.254,0.16555,0.63636,1,0.6427,0.000176786,0.000176786,0.000176786
78,102.562,0.10156,0.63636,1,0.62625,0.000169718,0.000169718,0.000169718
79,103.832,0.18128,0.63636,1,0.62357,0.000162649,0.000162649,0.000162649
80,105.133,0.11558,0.63636,1,0.61567,0.000155581,0.000155581,0.000155581
81,106.557,0.11814,0.63636,1,0.61516,0.000148512,0.000148512,0.000148512
82,107.824,0.10862,0.63636,1,0.60637,0.000141443,0.000141443,0.000141443
83,109.091,0.17983,0.63636,1,0.60953,0.000134375,0.000134375,0.000134375
84,110.382,0.09431,0.63636,1,0.61622,0.000127306,0.000127306,0.000127306
85,111.771,0.16557,0.63636,1,0.61711,0.000120238,0.000120238,0.000120238
86,113.086,0.22792,0.63636,1,0.61192,0.000113169,0.000113169,0.000113169
87,114.384,0.0821,0.63636,1,0.61207,0.0001061,0.0001061,0.0001061
88,115.756,0.06414,0.72727,1,0.60494,9.90318e-05,9.90318e-05,9.90318e-05
89,117.14,0.10328,0.63636,1,0.60319,9.19632e-05,9.19632e-05,9.19632e-05
90,118.638,0.11125,0.72727,1,0.59975,8.48946e-05,8.48946e-05,8.48946e-05
91,120.007,0.1727,0.72727,1,0.59949,7.7826e-05,7.7826e-05,7.7826e-05
92,121.411,0.18792,0.63636,1,0.63095,7.07574e-05,7.07574e-05,7.07574e-05
93,122.845,0.17837,0.63636,1,0.62677,6.36888e-05,6.36888e-05,6.36888e-05
94,124.561,0.10375,0.63636,1,0.62925,5.66202e-05,5.66202e-05,5.66202e-05
95,126.186,0.28618,0.63636,1,0.62373,4.95516e-05,4.95516e-05,4.95516e-05
96,127.828,0.33208,0.63636,1,0.62259,4.2483e-05,4.2483e-05,4.2483e-05
97,129.494,0.08342,0.63636,1,0.61967,3.54144e-05,3.54144e-05,3.54144e-05
98,131.264,0.1745,0.72727,1,0.59948,2.83458e-05,2.83458e-05,2.83458e-05
99,132.712,0.11665,0.72727,1,0.60612,2.12772e-05,2.12772e-05,2.12772e-05
100,134.322,0.07265,0.72727,1,0.60742,1.42086e-05,1.42086e-05,1.42086e-05
